Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
244,Bobby Portis,PF,20,CHI,62,4,17.8,3,7,0.3,0.8,2.7,6.2,0.8,1.1,2,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7
245,Donald Sloan,PG,28,BRK,61,33,21.6,2.5,5.7,0.6,1.6,1.9,4.1,1.3,1.7,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7
246,Brandon Jennings,PG,26,TOT,48,7,18.1,2.3,6.3,1.1,3.2,1.3,3.1,1.2,1.6,0.3,1.7,2,3.5,0.6,0.1,1.2,1.2,6.9
247,Wesley Johnson,SF,28,LAC,80,9,20.8,2.6,6.4,1.3,3.9,1.3,2.6,0.4,0.6,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,6.9
248,Andrew Nicholson,PF,26,ORL,56,0,14.7,2.6,5.5,0.7,2,1.9,3.5,0.9,1.2,0.6,3,3.6,0.4,0.2,0.4,0.7,1.2,6.9
249,Patrick Patterson,PF,26,TOR,79,0,25.6,2.6,6.2,1.3,3.7,1.2,2.5,0.4,0.4,1,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9
250,Brandan Wright,PF,28,MEM,12,2,17.7,2.9,4.3,0,0,2.9,4.3,1.1,2,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9
251,Seth Curry,PG,25,SAC,44,9,15.7,2.3,5.1,1.1,2.5,1.2,2.6,1,1.2,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8
252,Kosta Koufos,C,26,SAC,78,14,19,3,5.7,0,0,3,5.7,0.7,1.3,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8
253,Andrea Bargnani,C,30,BRK,46,0,13.8,2.8,6.1,0.1,0.3,2.7,5.7,1,1.2,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6
254,Vince Carter,SG,39,MEM,60,3,16.8,2.2,5.7,1,2.8,1.2,2.9,1.2,1.4,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6
255,Josh Richardson,SG,22,MIA,52,2,21.3,2.4,5.2,1,2.2,1.3,3,0.8,1.2,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6
256,Ed Davis,PF,26,POR,81,0,20.8,2.5,4.2,0,0,2.5,4.2,1.4,2.5,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5
257,Kris Humphries,PF,30,TOT,53,17,15.8,2.3,5.6,0.6,2,1.6,3.5,1.3,1.6,1.1,3,4.1,0.7,0.3,0.4,0.7,1.8,6.5
258,Henry Sims,C,25,BRK,14,4,18.8,2.4,5.5,0,0,2.4,5.5,1.8,2.1,1.5,3.6,5.1,0.6,0.6,1,0.9,2.6,6.5
259,Leandro Barbosa,SG,33,GSW,68,0,15.9,2.5,5.4,0.6,1.6,1.9,3.8,0.8,0.9,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4
260,Boris Diaw,PF,33,SAS,76,4,18.2,2.7,5,0.3,0.9,2.3,4.1,0.7,1,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4
261,Tim Hardaway,SG,23,ATL,51,1,16.9,2.2,5.2,0.9,2.8,1.3,2.4,1,1.1,0.1,1.5,1.7,1,0.4,0.1,0.5,0.9,6.4
262,Maurice Harkless,SF,22,POR,78,14,18.7,2.5,5.3,0.5,1.8,2,3.5,0.9,1.4,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4
263,Thabo Sefolosha,SF,31,ATL,75,11,23.4,2.5,5,0.6,1.7,1.9,3.3,0.8,1.3,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4
264,Justise Winslow,SF,19,MIA,78,8,28.6,2.5,5.9,0.4,1.5,2.1,4.4,1,1.5,1,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4
