Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
354,Chase Budinger,SF,27,TOT,66,2,14.1,1.6,3.6,0.4,1.3,1.2,2.3,0.6,0.8,0.7,1.6,2.3,1,0.5,0.2,0.7,0.9,4.1
355,John Jenkins,SG,24,TOT,43,3,11.2,1.7,3.7,0.4,1.2,1.3,2.5,0.5,0.6,0.2,1.1,1.3,0.8,0.2,0,0.6,0.5,4.1
356,Omer Asik,C,29,NOP,68,64,17.3,1.5,2.9,0,0,1.5,2.9,0.9,1.6,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4
357,Anthony Brown,SF,23,LAL,29,11,20.7,1.3,4.3,0.7,2.4,0.7,1.9,0.6,0.7,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4
358,Rakeem Christmas,PF,24,IND,1,0,6,2,2,0,0,2,2,0,0,1,0,1,0,0,0,0,1,4
359,Darrun Hilliard,SG,22,DET,38,2,10.1,1.4,3.4,0.5,1.3,0.9,2.1,0.8,1.1,0.1,1.1,1.2,0.7,0.2,0,0.5,0.7,4
360,Brian Roberts,PG,30,TOT,51,0,9.2,1.5,3.2,0.3,0.8,1.2,2.4,0.8,0.9,0.1,0.7,0.8,1.1,0.2,0,0.5,0.7,4
361,Chris Andersen,C,37,TOT,27,15,14.9,1.4,2.7,0.1,0.5,1.3,2.1,0.9,1.3,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9
362,Kevin Seraphin,C,26,NYK,48,0,11,1.8,4.3,0,0,1.8,4.2,0.4,0.5,0.6,2,2.6,1,0.2,0.8,0.9,1.4,3.9
363,Justin Anderson,SF,22,DAL,55,9,11.8,1.3,3.2,0.4,1.5,0.9,1.7,0.8,1,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
364,Glenn Robinson,SF,22,IND,45,4,11.3,1.4,3.4,0.3,0.8,1.1,2.5,0.6,0.9,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
365,Delon Wright,PG,23,TOR,27,1,8.5,1.3,3,0.2,0.5,1.1,2.5,1,1.3,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8
366,Joe Young,PG,23,IND,41,0,9.4,1.5,4.1,0.2,1.1,1.3,3,0.5,0.6,0.1,1.1,1.2,1.6,0.4,0,0.8,0.7,3.8
367,Caron Butler,SF,35,SAC,17,1,10.4,1.5,3.5,0.2,1.1,1.3,2.4,0.6,0.7,0.3,1,1.3,0.6,0.5,0.1,0.2,1.1,3.7
368,Orlando Johnson,SG,26,TOT,7,1,14.4,1.3,4.9,0.3,1.4,1,3.4,0.9,1.1,0.6,1.6,2.1,0.3,0.4,0.4,0.6,1.3,3.7
369,James Jones,SF,35,CLE,48,0,9.6,1.2,3,0.9,2.2,0.4,0.8,0.4,0.5,0.2,0.9,1,0.3,0.2,0.2,0.3,1,3.7
370,Kendall Marshall,PG,24,PHI,30,6,13.3,1.4,3.9,0.5,1.6,0.9,2.3,0.3,0.4,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1,3.7
371,Salah Mejri,C,29,DAL,34,6,11.7,1.4,2.3,0,0,1.4,2.3,0.8,1.4,1.2,2.4,3.6,0.3,0.2,1.1,0.7,1.6,3.7
372,Andre Miller,PG,39,TOT,39,4,11.8,1.5,2.7,0.1,0.2,1.5,2.5,0.6,0.8,0.3,1,1.3,2.2,0.4,0,0.9,1.2,3.7
373,Shabazz Napier,PG,24,ORL,55,0,10.9,1.2,3.7,0.6,1.9,0.6,1.8,0.6,0.8,0.2,0.8,1,1.8,0.4,0,0.8,0.7,3.7
374,Kelly Oubre,SF,20,WAS,63,9,10.7,1.4,3.3,0.4,1.3,1,2.1,0.5,0.8,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7
375,Ian Clark,SG,24,GSW,66,1,8.8,1.3,3.1,0.5,1.3,0.9,1.8,0.4,0.5,0.2,0.8,1,1,0.3,0.2,0.7,0.9,3.6
376,Montrezl Harrell,PF,22,HOU,39,1,9.7,1.5,2.3,0,0,1.5,2.3,0.6,1.2,0.6,1,1.7,0.4,0.3,0.3,0.4,1.2,3.6
377,Josh McRoberts,PF,28,MIA,42,1,14.2,1.3,3.5,0.3,1.2,1,2.4,0.7,1,0.5,2,2.5,1.9,0.4,0.2,0.7,1.6,3.6
378,Axel Toupane,SF,23,DEN,21,0,14.5,1.2,3.3,0.6,1.9,0.6,1.4,0.6,0.8,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,3.6
379,Noah Vonleh,PF,20,POR,78,56,15.1,1.5,3.6,0.1,0.6,1.4,3,0.5,0.7,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6
380,Christian Wood,PF,20,PHI,17,0,8.5,1.3,3.1,0.2,0.6,1.1,2.5,0.8,1.2,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,3.6
381,Jordan Adams,SG,21,MEM,2,0,7.5,1,3,0,0.5,1,2.5,1.5,2.5,0,1,1,1.5,1.5,0,1,1,3.5
382,James Anderson,SG,26,SAC,51,15,14.1,1.3,3.5,0.5,1.7,0.9,1.8,0.4,0.6,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5
383,Robert Sacre,C,26,LAL,25,1,12.8,1.2,3,0,0,1.2,3,1,1.5,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,3.5
384,Tarik Black,C,24,LAL,39,0,12.7,1.5,2.7,0,0,1.5,2.7,0.5,1.2,1.1,2.9,4,0.4,0.4,0.5,0.6,2,3.4
385,Cristiano Felicio,C,23,CHI,31,4,10.4,1.3,2.3,0,0.1,1.3,2.2,0.8,1.1,1,2.3,3.3,0.8,0.2,0.4,0.4,1,3.4
386,Ryan Hollins,C,31,TOT,37,12,12.4,1.3,2.1,0,0,1.3,2.1,0.7,1.1,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,3.4
387,Kyle Singler,SF,27,OKC,68,2,14.4,1.3,3.3,0.4,1.4,0.8,1.8,0.4,0.6,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4
388,Reggie Bullock,SF,24,DET,37,0,11.6,1.2,2.6,0.6,1.4,0.6,1.2,0.4,0.4,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3
389,Ray McCallum,PG,24,TOT,41,6,11.6,1.3,3.6,0.4,1,1,2.5,0.3,0.4,0.2,1,1.1,1.5,0.3,0.2,0.6,0.7,3.3
390,Mike Muscala,C,24,ATL,60,0,9.4,1.3,2.5,0.2,0.7,1.1,1.9,0.5,0.7,0.6,1.3,2,0.6,0.2,0.5,0.5,1.2,3.3
391,Phil Pressey,PG,24,TOT,23,0,12.3,1.3,3.4,0.2,0.8,1.1,2.6,0.6,1.1,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3
392,Kevin Garnett,PF,39,MIN,38,38,14.6,1.4,3,0,0,1.4,3,0.4,0.6,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2
393,Luc Mbah a Moute,PF,29,LAC,75,61,17,1.3,2.8,0.2,0.5,1.1,2.2,0.4,0.8,0.8,1.5,2.3,0.4,0.6,0.3,0.5,1.3,3.1
394,Jason Thompson,C,29,TOT,47,7,10,1.1,2.3,0.1,0.3,1,2,0.8,1.1,0.7,2.2,2.9,0.6,0.3,0.4,0.3,1.7,3.1
395,Rashad Vaughn,SG,19,MIL,70,6,14.3,1.2,3.8,0.6,2.1,0.5,1.7,0.2,0.2,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1,3.1
396,Thanasis Antetokounmpo,SF,23,NYK,2,0,3,1.5,2,0,0.5,1.5,1.5,0,0,0,0.5,0.5,0,0,0,0,1,3
397,Kirk Hinrich,PG,35,TOT,46,7,13.7,1.1,2.8,0.5,1.3,0.5,1.5,0.3,0.3,0.2,1.3,1.5,1.6,0.3,0,0.7,1.4,3
398,Johnny O'Bryant,PF,22,MIL,66,4,13,1.3,3.2,0,0,1.3,3.2,0.4,0.6,1,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3
399,C.J. Wilcox,SG,25,LAC,23,0,7.3,1.1,2.9,0.4,1,0.7,1.9,0.4,0.5,0,0.5,0.5,0.4,0.4,0.1,0.1,0.7,3
400,Chris Johnson,SF,25,UTA,70,2,12.2,1,2.8,0.4,1.4,0.6,1.4,0.5,0.6,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,2.9
401,James Michael McAdoo,PF,23,GSW,41,1,6.4,1.1,2,0,0,1.1,2,0.6,1.2,0.7,0.7,1.4,0.4,0.2,0.2,0.4,1,2.9
402,Tayshaun Prince,SF,35,MIN,77,44,19,1.3,3,0.1,0.3,1.3,2.7,0.2,0.2,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,2.9
403,Alan Williams,PF,23,PHO,10,0,6.8,1,2.4,0,0,1,2.4,0.9,1.4,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9
404,Andrew Goudelock,PG,27,HOU,8,0,6.3,1.1,2.5,0.1,1.1,1,1.4,0.4,0.5,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,2.8
405,Josh Huestis,PF,24,OKC,5,0,11,1,2.4,0.8,1.2,0.2,1.2,0,0.8,0.4,1.6,2,0,0.2,0.4,0.6,0.6,2.8
406,Cory Jefferson,PF,25,PHO,8,0,6.3,1.1,2.8,0,0.1,1.1,2.6,0.5,0.8,0.8,1.3,2,0,0,0.1,0,1,2.8
407,Chris Kaman,C,33,POR,16,2,7,1.3,2.7,0.1,0.3,1.2,2.4,0.2,0.2,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,2.8
408,Alex Stepheson,PF,28,TOT,8,0,9.1,1.1,3.4,0,0,1.1,3.4,0.5,1.5,2.4,1.1,3.5,0.3,0.1,0.6,0,1.5,2.8
409,Rasual Butler,SF,36,SAS,46,0,9.4,1.1,2.3,0.3,1.1,0.7,1.2,0.2,0.3,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,2.7
410,Jared Cunningham,SG,24,TOT,44,3,9.3,0.8,2.4,0.3,0.9,0.5,1.5,0.8,1.3,0.1,0.8,0.9,0.5,0.3,0,0.5,0.9,2.7
411,Drew Gooden,PF,34,WAS,30,0,10.2,1.1,3.4,0.2,1.4,0.9,2.1,0.3,0.5,0.9,1.9,2.8,0.4,0.3,0.4,0.4,1.3,2.7
412,R.J. Hunter,SG,22,BOS,36,0,8.8,1,2.7,0.5,1.8,0.5,1,0.2,0.2,0.1,1,1,0.4,0.4,0.1,0.3,0.8,2.7
413,Justin Harper,PF,26,DET,5,0,7,0.8,2,0.8,1.8,0,0.2,0.2,0.4,0,0.2,0.2,0,0.2,0,0.4,0.6,2.6
414,Kostas Papanikolaou,SF,25,DEN,26,6,11.3,0.9,2.5,0.4,1.2,0.5,1.3,0.3,0.5,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,2.6
415,Anderson Varejao,C,33,TOT,53,0,9.4,1,2.3,0,0,1,2.3,0.6,0.9,0.7,2,2.7,0.7,0.3,0.2,0.4,1.3,2.6
416,Matt Bonner,C,35,SAS,30,2,6.9,1,1.9,0.5,1.1,0.5,0.8,0.1,0.1,0.1,0.8,0.9,0.3,0.2,0,0.1,0.5,2.5
417,Lorenzo Brown,PG,25,PHO,8,0,7.6,1,3.1,0.1,1,0.9,2.1,0.4,0.5,0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5
418,Adreian Payne,PF,24,MIN,52,2,9.3,1,2.8,0.2,0.6,0.8,2.2,0.3,0.5,0.4,1.8,2.1,0.6,0.3,0.2,0.7,1.5,2.5
419,Kendrick Perkins,C,31,NOP,37,5,14.6,1.1,2,0,0,1.1,2,0.3,0.7,0.7,2.8,3.5,0.8,0.3,0.3,1.1,1.7,2.5
420,Pablo Prigioni,PG,38,LAC,59,3,13.9,0.9,2.5,0.5,1.6,0.5,0.9,0.1,0.1,0.6,1.3,1.9,2.2,0.9,0,0.8,1.4,2.5
421,Sonny Weems,SG-SF,29,TOT,43,0,11.6,1,2.6,0.3,1,0.6,1.6,0.2,0.3,0.2,1.1,1.2,1.1,0.2,0,1,1.1,2.5
422,Jarell Eddie,SF,24,WAS,26,0,5.7,0.8,2.5,0.6,1.8,0.2,0.7,0.3,0.3,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4
423,Jeremy Evans,SF,28,DAL,30,2,8.4,0.9,1.6,0.1,0.5,0.7,1.1,0.5,0.7,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4
424,Tyler Hansbrough,PF,30,CHO,44,0,7.8,0.7,1.6,0,0.1,0.7,1.5,0.9,1.5,0.9,1.1,2,0.2,0.3,0.2,0.3,1.3,2.4
425,Sergey Karasev,SF,22,BRK,40,5,10,0.8,1.9,0.3,0.9,0.5,0.9,0.7,0.7,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,2.4
426,K.J. McDaniels,SF,22,HOU,37,1,6.4,0.8,1.9,0.2,0.7,0.6,1.3,0.6,0.8,0.4,0.7,1.1,0.3,0.2,0.2,0.5,0.8,2.4
427,Steve Novak,PF,32,TOT,10,0,4.4,0.8,1.8,0.7,1.5,0.1,0.3,0.1,0.1,0,0.5,0.5,0,0,0,0.1,0.3,2.4
428,Lamar Patterson,SG,24,ATL,35,0,11.3,0.8,2.3,0.3,1.4,0.5,0.9,0.5,0.6,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
429,Greg Smith,PF,25,MIN,18,0,10.7,1,1.8,0,0,1,1.8,0.4,0.9,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4
430,Damjan Rudez,SF,29,MIN,33,0,8.4,0.8,1.9,0.5,1.5,0.2,0.4,0.2,0.2,0.2,0.5,0.6,0.3,0.1,0,0.4,1,2.3
431,Walter Tavares,C,23,ATL,11,0,6.6,1,1.7,0,0,1,1.7,0.3,0.7,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
432,Lucas Nogueira,C,23,TOR,29,1,7.8,1,1.5,0,0.1,0.9,1.4,0.3,0.5,0.6,1,1.6,0.2,0.4,0.4,0.4,1,2.2
433,DeJuan Blair,C,26,WAS,29,0,7.5,1,2.3,0,0,1,2.3,0.2,0.4,0.7,1.3,2,0.4,0.3,0.1,0.5,1.8,2.1
434,Nick Collison,PF,35,OKC,59,4,11.8,0.8,1.8,0,0,0.8,1.8,0.4,0.6,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
435,Chris Copeland,PF,31,MIL,24,1,6.5,0.7,2.1,0.4,1.5,0.3,0.6,0.3,0.3,0,0.4,0.4,0.5,0.1,0,0.3,0.7,2.1
436,Devyn Marble,SG,23,ORL,28,0,8.9,0.8,2.5,0.3,1.1,0.5,1.4,0.4,0.9,0.2,1.1,1.4,0.4,0.5,0,0.3,0.9,2.1
437,Coty Clarke,SF,23,BOS,3,0,2,0.7,1.3,0.7,0.7,0,0.7,0,0,0,0.3,0.3,0,0,0,0.3,0,2
438,Chuck Hayes,C,32,HOU,2,0,12,0.5,1,0,0,0.5,1,1,1,0,4,4,1,0,0,1.5,3,2
439,Tibor Pleiss,C,26,UTA,12,0,6.8,0.9,2.1,0,0.2,0.9,1.9,0.2,0.2,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,2
440,Cameron Bairstow,C,25,CHI,18,2,5.7,0.7,2.2,0.1,0.3,0.7,1.9,0.4,0.4,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9
441,Lou Amundson,PF,33,NYK,29,0,7,0.7,1.8,0,0,0.7,1.8,0.5,0.9,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8
442,Jeff Ayres,C,28,LAC,17,0,6.3,0.7,1.4,0,0.1,0.7,1.3,0.4,0.4,0.2,1.1,1.3,0.3,0,0.2,0.4,1.1,1.8
443,Cleanthony Early,SF,24,NYK,17,2,9.1,0.7,2.4,0.2,0.9,0.5,1.5,0.2,0.2,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,1.8
444,Jorge Gutierrez,PG,27,CHO,12,0,5.3,0.5,0.9,0,0.2,0.5,0.8,0.8,0.9,0,0.6,0.6,1.4,0.3,0,0.5,0.3,1.8
445,Damien Inglis,SF,20,MIL,20,1,7.8,0.7,1.9,0.2,0.7,0.5,1.2,0.4,0.4,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8
446,Kevon Looney,PF,19,GSW,5,0,4.2,0.8,1.4,0.2,0.4,0.6,1,0,0,0.8,1.2,2,0,0,0,0.2,0.4,1.8
447,Elijah Millsap,SG,28,UTA,20,0,8.7,0.6,2,0.1,0.6,0.5,1.4,0.7,0.9,0.3,1.5,1.8,1,0.4,0.2,0.5,1.7,1.8
448,Terry Rozier,PG,21,BOS,39,0,8,0.7,2.7,0.2,0.7,0.6,2,0.2,0.3,0.6,1,1.6,0.9,0.2,0,0.5,0.6,1.8
449,Udonis Haslem,PF,35,MIA,37,0,7,0.6,1.6,0,0.2,0.6,1.4,0.3,0.4,0.3,1.8,2,0.4,0.1,0.1,0.1,0.7,1.6
450,Nazr Mohammed,C,38,OKC,5,0,3.8,0.6,1,0,0,0.6,1,0.4,0.4,0.2,0.6,0.8,0,0,0,0.6,0.8,1.6
451,Shayne Whittington,PF,24,IND,7,0,5.9,0.7,1.6,0,0.3,0.7,1.3,0.1,0.3,0.7,1,1.7,0.4,0.1,0.1,0.7,1,1.6
452,Elliot Williams,PG,26,MEM,5,0,9,0.4,2,0.2,0.8,0.2,1.2,0.6,0.8,0.2,0.6,0.8,0.8,0,0,0.2,0.4,1.6
453,Anthony Bennett,PF,22,TOR,19,0,4.4,0.4,1.4,0.2,0.7,0.3,0.7,0.5,0.5,0.3,0.9,1.2,0,0.3,0,0.2,0.4,1.5
454,Jimmer Fredette,SG,26,TOT,6,0,3,0.3,0.8,0.2,0.3,0.2,0.5,0.7,0.8,0,0,0,0.2,0.2,0,0.3,0.3,1.5
455,Russ Smith,PG,24,MEM,15,0,4.4,0.5,1.5,0.1,0.3,0.4,1.1,0.5,0.9,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5
456,Erick Green,PG,24,TOT,9,0,4.7,0.6,1.4,0.1,0.6,0.4,0.9,0.2,0.2,0.3,0.3,0.7,0.3,0.1,0,0,0.4,1.4
457,Cliff Alexander,PF,20,POR,8,0,4.5,0.6,1.3,0,0,0.6,1.3,0,0,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3
458,Mitch McGary,PF,23,OKC,20,0,3.6,0.6,1.2,0,0.2,0.6,1,0.2,0.5,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3
459,Jordan Mickey,PF,21,BOS,16,0,3.6,0.5,1.4,0,0,0.5,1.4,0.3,0.6,0.4,0.4,0.8,0.1,0,0.7,0.1,0.3,1.3
460,Mike Miller,SF,35,DEN,47,2,7.9,0.5,1.3,0.4,1.1,0.1,0.2,0,0,0.1,1,1.1,0.9,0.3,0.1,0.4,1.1,1.3
461,Keith Appling,PG,23,ORL,5,0,5.4,0.4,1.6,0,0.6,0.4,1,0.4,0.4,0,0.2,0.2,0.2,0.2,0,0.6,1,1.2
462,Luis Montero,SG,22,POR,12,0,3.5,0.4,1.6,0.1,0.8,0.3,0.8,0.3,0.3,0,0.3,0.3,0.1,0,0,0.3,0.1,1.2
463,Pat Connaughton,SG,23,POR,34,0,4.2,0.4,1.4,0.1,0.6,0.2,0.8,0.1,0.1,0.3,0.6,0.9,0.3,0.1,0,0.3,0.2,1.1
464,Bryce Cotton,PG,23,TOT,8,0,4.9,0.5,1.3,0,0.4,0.5,0.9,0,0,0,0,0,0.4,0.4,0,0.6,0.3,1
465,Eric Moreland,PF,24,SAC,8,0,6,0.4,0.8,0,0,0.4,0.8,0.3,0.5,0.4,1,1.4,0.1,0,0.5,0.4,0.5,1
466,Jarnell Stokes,C,22,TOT,7,0,2.6,0.4,0.7,0,0,0.4,0.7,0.1,0.3,0.1,0.4,0.6,0.1,0.1,0,0,0.1,1
467,James Young,SG,20,BOS,29,0,6.9,0.4,1.2,0.2,0.9,0.2,0.3,0,0.1,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,1
468,Joel Anthony,C,33,DET,19,0,5.1,0.3,0.5,0,0,0.3,0.5,0.3,0.4,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9
469,Aaron Harrison,SG,21,CHO,21,0,4.4,0.2,0.9,0.1,0.5,0.1,0.4,0.2,0.6,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,0.9
470,Sasha Kaun,C,30,CLE,25,0,3.8,0.4,0.7,0,0,0.4,0.7,0.2,0.4,0.5,0.6,1,0.1,0.2,0.2,0.3,0.4,0.9
471,Branden Dawson,PF,22,LAC,6,0,4.8,0.3,0.8,0,0,0.3,0.8,0.2,0.2,0.3,0.3,0.7,0,0,0.2,0,0.3,0.8
472,Joe Harris,SG,24,CLE,5,0,3,0.2,0.8,0.2,0.8,0,0,0,0,0,0.6,0.6,0.4,0,0,0.2,0.2,0.6
473,Bruno Caboclo,SF,20,TOR,6,1,7.2,0.2,2,0.2,1.2,0,0.8,0,0,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5
474,Sam Dekker,SF,21,HOU,3,0,2,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0
475,J.J. O'Brien,SF,23,UTA,2,0,3,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0
476,Nate Robinson,PG,31,NOP,2,1,11.5,0,0.5,0,0.5,0,0,0,0,0,0,0,2,0.5,0,0,2.5,0
