Rk,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
424,1,30.0,-0.4447888903125379,0,7.8,0.7,1.6,L,0.1,L,1.5,0.9,1.5,0.9,1.1,2.0,0.2,0.3,0.2,0.3,1.3,2.4
425,4,22.0,-0.6097437105608964,5,10.0,0.8,1.9,L,0.9,L,0.9,0.7,0.7,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,2.4
426,4,22.0,-0.7334598257471652,1,6.4,0.8,1.9,L,0.7,L,1.3,0.6,0.8,0.4,0.7,1.1,0.3,0.2,0.2,0.5,0.8,2.4
427,1,32.0,-1.8469048624235846,0,4.4,0.8,1.8,L,1.5,L,0.3,0.1,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.3,2.4
428,5,24.0,-0.8159372358713444,0,11.3,0.8,2.3,L,1.4,L,0.9,0.5,0.6,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
429,1,25.0,-1.5169952219268679,0,10.7,1.0,1.8,L,0.0,L,1.8,0.4,0.9,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4
430,4,29.0,-0.8984146459955236,0,8.4,0.8,1.9,L,1.5,L,0.4,0.2,0.2,0.2,0.5,0.6,0.3,0.1,0.0,0.4,1.0,2.3
431,0,23.0,-1.805666157361495,0,6.6,1.0,1.7,L,0.0,L,1.7,0.3,0.7,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
432,0,23.0,-1.063369466243882,1,7.8,1.0,1.5,L,0.1,L,1.4,0.3,0.5,0.6,1.0,1.6,0.2,0.4,0.4,0.4,1.0,2.2
433,0,26.0,-1.063369466243882,0,7.5,1.0,2.3,L,0.0,L,2.3,0.2,0.4,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1
434,1,35.0,0.17379168561880626,4,11.8,0.8,1.8,L,0.0,L,1.8,0.4,0.6,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
435,1,31.0,-1.26956299155433,1,6.5,0.7,2.1,L,1.5,L,0.6,0.3,0.3,0.0,0.4,0.4,0.5,0.1,0.0,0.3,0.7,2.1
436,5,23.0,-1.1046081713059717,0,8.9,0.8,2.5,L,1.1,L,1.4,0.4,0.9,0.2,1.1,1.4,0.4,0.5,0.0,0.3,0.9,2.1
437,4,23.0,-2.1355757978582117,0,2.0,0.7,1.3,L,0.7,L,0.7,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.0
438,0,32.0,-2.1768145029203017,0,12.0,0.5,1.0,L,0.0,L,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.5,3.0,2.0
439,0,26.0,-1.7644274522994055,0,6.8,0.9,2.1,L,0.2,L,1.9,0.2,0.2,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,2.0
440,0,25.0,-1.5169952219268679,2,5.7,0.7,2.2,L,0.3,L,1.9,0.4,0.4,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9
441,1,33.0,-1.063369466243882,0,7.0,0.7,1.8,L,0.0,L,1.8,0.5,0.9,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8
442,0,28.0,-1.5582339269889574,0,6.3,0.7,1.4,L,0.1,L,1.3,0.4,0.4,0.2,1.1,1.3,0.3,0.0,0.2,0.4,1.1,1.8
443,4,24.0,-1.5582339269889574,2,9.1,0.7,2.4,L,0.9,L,1.5,0.2,0.2,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,1.8
444,3,27.0,-1.7644274522994055,0,5.3,0.5,0.9,L,0.2,L,0.8,0.8,0.9,0.0,0.6,0.6,1.4,0.3,0.0,0.5,0.3,1.8
445,4,20.0,-1.4345178118026884,1,7.8,0.7,1.9,L,0.7,L,1.2,0.4,0.4,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8
446,1,19.0,-2.0530983877340327,0,4.2,0.8,1.4,L,0.4,L,1.0,0.0,0.0,0.8,1.2,2.0,0.0,0.0,0.0,0.2,0.4,1.8
447,5,28.0,-1.4345178118026884,0,8.7,0.6,2.0,L,0.6,L,1.4,0.7,0.9,0.3,1.5,1.8,1.0,0.4,0.2,0.5,1.7,1.8
448,3,21.0,-0.650982415622986,0,8.0,0.7,2.7,L,0.7,L,2.0,0.2,0.3,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
449,1,35.0,-0.7334598257471652,0,7.0,0.6,1.6,L,0.2,L,1.4,0.3,0.4,0.3,1.8,2.0,0.4,0.1,0.1,0.1,0.7,1.6
450,0,38.0,-2.0530983877340327,0,3.8,0.6,1.0,L,0.0,L,1.0,0.4,0.4,0.2,0.6,0.8,0.0,0.0,0.0,0.6,0.8,1.6
451,1,24.0,-1.9706209776098536,0,5.9,0.7,1.6,L,0.3,L,1.3,0.1,0.3,0.7,1.0,1.7,0.4,0.1,0.1,0.7,1.0,1.6
452,3,26.0,-2.0530983877340327,0,9.0,0.4,2.0,L,0.8,L,1.2,0.6,0.8,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.4,1.6
453,1,22.0,-1.4757565168647782,0,4.4,0.4,1.4,L,0.7,L,0.7,0.5,0.5,0.3,0.9,1.2,0.0,0.3,0.0,0.2,0.4,1.5
454,5,26.0,-2.0118596826719433,0,3.0,0.3,0.8,L,0.3,L,0.5,0.7,0.8,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.3,1.5
455,3,24.0,-1.6407113371131365,0,4.4,0.5,1.5,L,0.3,L,1.1,0.5,0.9,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5
456,3,24.0,-1.8881435674856744,0,4.7,0.6,1.4,L,0.6,L,0.9,0.2,0.2,0.3,0.3,0.7,0.3,0.1,0.0,0.0,0.4,1.4
457,1,20.0,-1.9293822725477638,0,4.5,0.6,1.3,L,0.0,L,1.3,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
458,1,23.0,-1.4345178118026884,0,3.6,0.6,1.2,L,0.2,L,1.0,0.2,0.5,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3
459,1,21.0,-1.599472632051047,0,3.6,0.5,1.4,L,0.0,L,1.4,0.3,0.6,0.4,0.4,0.8,0.1,0.0,0.7,0.1,0.3,1.3
460,4,35.0,-0.3210727751262691,2,7.9,0.5,1.3,L,1.1,L,0.2,0.0,0.0,0.1,1.0,1.1,0.9,0.3,0.1,0.4,1.1,1.3
461,3,23.0,-2.0530983877340327,0,5.4,0.4,1.6,L,0.6,L,1.0,0.4,0.4,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
462,5,22.0,-1.7644274522994055,0,3.5,0.4,1.6,L,0.8,L,0.8,0.3,0.3,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,1.2
463,5,23.0,-0.857175940933434,0,4.2,0.4,1.4,L,0.6,L,0.8,0.1,0.1,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1
464,3,23.0,-1.9293822725477638,0,4.9,0.5,1.3,L,0.4,L,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.6,0.3,1.0
465,1,24.0,-1.9293822725477638,0,6.0,0.4,0.8,L,0.0,L,0.8,0.3,0.5,0.4,1.0,1.4,0.1,0.0,0.5,0.4,0.5,1.0
466,0,22.0,-1.9706209776098536,0,2.6,0.4,0.7,L,0.0,L,0.7,0.1,0.3,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0
467,5,20.0,-1.063369466243882,0,6.9,0.4,1.2,L,0.9,L,0.3,0.0,0.1,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.0
468,0,33.0,-1.4757565168647782,0,5.1,0.3,0.5,L,0.0,L,0.5,0.3,0.4,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9
469,5,21.0,-1.393279106740599,0,4.4,0.2,0.9,L,0.5,L,0.4,0.2,0.6,0.2,0.5,0.7,0.1,0.3,0.0,0.2,0.5,0.9
470,0,30.0,-1.2283242864922406,0,3.8,0.4,0.7,L,0.0,L,0.7,0.2,0.4,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9
471,1,22.0,-2.0118596826719433,0,4.8,0.3,0.8,L,0.0,L,0.8,0.2,0.2,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8
472,5,24.0,-2.0530983877340327,0,3.0,0.2,0.8,L,0.8,L,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
473,4,20.0,-2.0118596826719433,1,7.2,0.2,2.0,L,1.2,L,0.8,0.0,0.0,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5
474,4,21.0,-2.1355757978582117,0,2.0,0.0,0.0,L,0.0,L,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
475,4,23.0,-2.1768145029203017,0,3.0,0.0,0.5,L,0.0,L,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0
476,3,31.0,-2.1768145029203017,1,11.5,0.0,0.5,L,0.5,L,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.0
